Algorithm,Set,RMSE,IFT_Actual,IFT_Prediction,Residual,Standarized,Set Overall Results,R,RMSE,
XGB,Training,0.004006247,3.4,3.463294923,-0.063294923,-0.06035766,,,,
XGB,Training,0.000291601,7.05,7.032923681,0.017076319,-0.011029642,,,,
XGB,Training,0.001380173,22.1,22.06284932,0.037150678,0.001291038,,,,
XGB,Training,0.003726396,15,15.06104421,-0.061044212,-0.058976281,,,,
XGB,Training,0.000861492,1.43,1.400648811,0.029351189,-0.003495915,,,,
XGB,Training,0.042694903,17.575,17.78162745,-0.206627449,-0.148328299,,,,
XGB,Training,0.005514069,17.635,17.56074322,0.074256775,0.024064983,,,,
XGB,Training,0.027574768,27.5,27.33394348,0.166056521,0.08040727,,,,
XGB,Training,0.020537303,16.8,16.94330842,-0.14330842,-0.109466112,,,,
XGB,Training,0.010460121,10.9,10.79772526,0.102274735,0.041261065,,,,
XGB,Training,0.000503792,9,8.977554693,0.022445307,-0.007734414,,,,
XGB,Training,11.87435942,14.74,18.18591924,-3.445919242,-2.136450434,,,,
XGB,Training,0.004006247,3.4,3.463294923,-0.063294923,-0.06035766,,,,
XGB,Training,0.01048567,15.46,15.35760044,0.102399561,0.041337677,,,,
XGB,Training,0.00045822,10.302,10.32340607,-0.02140607,-0.034648288,,,,
XGB,Training,8.44111E-05,15.05,15.04081245,0.00918755,-0.01587139,,,,
XGB,Training,0.000134325,18.888,18.87641014,0.011589865,-0.014396964,,,,
XGB,Training,0.011037222,12.6,12.70505818,-0.105058182,-0.085989948,,,,
XGB,Training,0.019694327,12.889,12.74866352,0.140336477,0.064621539,,,,
XGB,Training,0.003720419,15.184,15.12300476,0.060995237,0.015925686,,,,
XGB,Training,0.000200472,18.834,18.84815883,-0.014158826,-0.030200277,,,,
XGB,Training,0.006750544,6.5,6.417838303,0.082161697,0.028916646,,,,
XGB,Training,0.032593602,18.347,18.16646302,0.180536983,0.089294684,,,,
XGB,Training,0.027245994,26.8,26.63493639,0.165063606,0.079797866,,,,
XGB,Training,0.049226789,5.016,5.237871108,-0.221871108,-0.157684127,,,,
XGB,Training,0.000164388,1.33,1.34282138,-0.01282138,-0.029379417,,,,
XGB,Training,0.016941573,21.32,21.4501598,-0.130159799,-0.101396118,,,,
XGB,Training,0.001294364,4.031,3.995022736,0.035977264,0.000570853,,,,
XGB,Training,0.000166786,1.75,1.762914559,-0.012914559,-0.029436606,,,,
XGB,Training,0.00478944,19.855,19.78579422,0.069205782,0.020964925,,,,
XGB,Training,46.80156281,34.3,27.45883323,6.841166773,4.177270194,,,,
XGB,Training,0.001651759,7.184,7.143358161,0.040641839,0.003433746,,,,
XGB,Training,0.009437473,9.332,9.429146656,-0.097146656,-0.081134232,,,,
XGB,Training,0.010225632,12.9,12.79887814,0.101121865,0.040553488,,,,
XGB,Training,0.000319966,10.392,10.3741124,0.017887602,-0.010531715,,,,
XGB,Training,5.31872E-08,9.1,9.099769376,0.000230624,-0.021368723,,,,
XGB,Training,0.000789439,1.13,1.15809695,-0.02809695,-0.03875483,,,,
XGB,Training,0.000708025,3.7,3.726608742,-0.026608742,-0.03784144,,,,
XGB,Training,0.001576463,35.9,35.93970469,-0.039704693,-0.045879107,,,,
XGB,Training,0.000195809,30,29.98600682,0.013993179,-0.012921925,,,,
XGB,Training,1.63645E-06,7.4,7.401279239,-0.001279239,-0.022295404,,,,
XGB,Training,0.003560389,2.55,2.490331004,0.059668996,0.015111703,,,,
XGB,Training,0.007752365,17.5,17.41195249,0.088047514,0.032529078,,,,
XGB,Training,0.001507311,21.32,21.35882411,-0.038824106,-0.045338645,,,,
XGB,Training,0.01972175,24.1,24.24043415,-0.140434148,-0.107702021,,,,
XGB,Training,0.000262683,14.06,14.07620749,-0.016207489,-0.031457649,,,,
XGB,Training,0.000302825,1.35,1.332598133,0.017401867,-0.010829836,,,,
